location,latitude,longitude,timestamp,date,season,temp_c,rain_mm,humidity,visibility_km,is_raining
Kompally,17.54145002014721,78.49092328971071,2025-01-01 00:00:00,2025-01-01,Winter,26.2,0.0,63,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 00:00:00,2025-01-01,Winter,26.8,0.0,56,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 00:00:00,2025-01-01,Winter,29.0,0.0,58,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 00:00:00,2025-01-01,Winter,28.4,0.0,71,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 00:00:00,2025-01-01,Winter,26.8,0.0,65,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 00:00:00,2025-01-01,Winter,26.0,0.0,54,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 00:00:00,2025-01-01,Winter,25.3,0.0,65,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 00:00:00,2025-01-01,Winter,27.9,0.0,61,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 01:00:00,2025-01-01,Winter,26.9,0.0,69,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 01:00:00,2025-01-01,Winter,27.2,0.0,46,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 01:00:00,2025-01-01,Winter,26.9,0.0,59,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 01:00:00,2025-01-01,Winter,28.7,0.0,60,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 01:00:00,2025-01-01,Winter,23.2,0.0,56,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 01:00:00,2025-01-01,Winter,30.9,0.0,66,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 01:00:00,2025-01-01,Winter,27.1,0.0,63,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 01:00:00,2025-01-01,Winter,25.8,0.0,57,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 02:00:00,2025-01-01,Winter,24.5,0.0,59,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 02:00:00,2025-01-01,Winter,25.5,0.0,61,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 02:00:00,2025-01-01,Winter,29.0,0.0,66,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 02:00:00,2025-01-01,Winter,24.3,0.0,65,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 02:00:00,2025-01-01,Winter,26.0,0.0,52,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 02:00:00,2025-01-01,Winter,29.4,0.0,65,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 02:00:00,2025-01-01,Winter,25.0,0.0,66,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 02:00:00,2025-01-01,Winter,28.8,0.0,56,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 03:00:00,2025-01-01,Winter,25.6,0.0,62,10.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 03:00:00,2025-01-01,Winter,24.7,0.0,62,10.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 03:00:00,2025-01-01,Winter,29.7,0.0,69,10.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 03:00:00,2025-01-01,Winter,29.0,0.0,64,10.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 03:00:00,2025-01-01,Winter,29.5,0.0,61,10.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 03:00:00,2025-01-01,Winter,30.7,0.0,61,10.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 03:00:00,2025-01-01,Winter,26.1,0.0,61,10.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 03:00:00,2025-01-01,Winter,25.9,0.0,60,10.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 04:00:00,2025-01-01,Winter,27.7,0.0,57,2.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 04:00:00,2025-01-01,Winter,23.9,0.0,58,2.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 04:00:00,2025-01-01,Winter,29.6,0.0,55,2.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 04:00:00,2025-01-01,Winter,28.9,0.0,61,2.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 04:00:00,2025-01-01,Winter,26.4,0.0,60,2.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 04:00:00,2025-01-01,Winter,28.1,0.0,52,2.0,0
PVNR_Expressway,17.375,78.434,2025-01-01 04:00:00,2025-01-01,Winter,28.0,0.0,58,2.0,0
HITEC_City_Main_Road,17.447,78.376,2025-01-01 04:00:00,2025-01-01,Winter,27.9,0.0,64,2.0,0
Kompally,17.54145002014721,78.49092328971071,2025-01-01 05:00:00,2025-01-01,Winter,24.8,0.0,57,2.0,0
Gachibowli,17.450524139245275,78.34655494004758,2025-01-01 05:00:00,2025-01-01,Winter,26.3,0.0,62,2.0,0
Uppal,17.40139809188057,78.56925669271646,2025-01-01 05:00:00,2025-01-01,Winter,25.8,0.0,53,2.0,0
Mehdipatnam,17.39623428520163,78.4417508780221,2025-01-01 05:00:00,2025-01-01,Winter,25.6,0.0,78,2.0,0
Medchal,17.647783124602935,78.48665491046361,2025-01-01 05:00:00,2025-01-01,Winter,25.0,0.0,64,2.0,0
L B Nagar,17.34367740962585,78.55587986747992,2025-01-01 05:00:00,2025-01-01,Winter,24.9,0.0,57,2.0,0
