route,time_start,time_end,range_km,freeFlowSpeed,currentSpeed,freeFlowTravelTime,currentTravelTime,traffic_index,day_of_the_week,season,most_probable_vehicle_type,pollution_index,date,is_peak,distribution_cost,customer_satisfaction,quality_score,time_deviation,vehicle_id
Kompally,00:00:00,01:00:00,6.0,87,86,4,4,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,202.39,5.0,90.9,-1.2,VH17501
Gachibowli,00:00:00,01:00:00,7.5,55,51,8,8,10,Wednesday,Winter,4W,0.2,2025-01-01,0,280.86,5.0,81.1,-1.9,VH11689
Uppal,00:00:00,01:00:00,15.0,57,55,15,16,10,Wednesday,Winter,2W,0.2,2025-01-01,0,400.58,5.0,97.5,-4.4,VH16418
Mehdipatnam,00:00:00,01:00:00,5.0,58,54,5,5,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,268.56,5.0,85.2,-1.2,VH17550
Medchal,00:00:00,01:00:00,12.0,89,84,8,8,10,Wednesday,Winter,HCV,0.2,2025-01-01,0,446.62,5.0,92.7,-2.0,VH09587
L B Nagar,00:00:00,01:00:00,8.0,54,52,8,9,10,Wednesday,Winter,4W,0.2,2025-01-01,0,93.04,5.0,85.2,-2.4,VH18598
PVNR_Expressway,00:00:00,01:00:00,11.6,91,87,7,7,10,Wednesday,Winter,4W,0.2,2025-01-01,0,339.27,5.0,82.6,-2.0,VH33875
HITEC_City_Main_Road,00:00:00,01:00:00,8.5,62,57,8,8,10,Wednesday,Winter,4W,0.2,2025-01-01,0,345.1,5.0,76.5,-1.9,VH21861
Kompally,01:00:00,02:00:00,6.0,81,76,4,4,10,Wednesday,Winter,4W,0.2,2025-01-01,0,233.34,5.0,87.0,-1.0,VH14219
Gachibowli,01:00:00,02:00:00,7.5,56,53,8,8,10,Wednesday,Winter,2W,0.2,2025-01-01,0,117.49,5.0,77.2,-2.0,VH24075
Uppal,01:00:00,02:00:00,15.0,48,47,18,18,10,Wednesday,Winter,4W,0.2,2025-01-01,0,577.8,5.0,93.6,-5.6,VH10174
Mehdipatnam,01:00:00,02:00:00,5.0,56,52,5,5,10,Wednesday,Winter,2W,0.2,2025-01-01,0,221.7,5.0,80.6,-1.2,VH31378
Medchal,01:00:00,02:00:00,12.0,84,81,8,8,10,Wednesday,Winter,4W,0.2,2025-01-01,0,471.2,5.0,91.9,-2.4,VH36442
L B Nagar,01:00:00,02:00:00,8.0,46,44,10,10,10,Wednesday,Winter,2W,0.2,2025-01-01,0,374.94,5.0,82.9,-2.7,VH12948
PVNR_Expressway,01:00:00,02:00:00,11.6,81,76,8,9,10,Wednesday,Winter,4W,0.2,2025-01-01,0,516.24,5.0,90.0,-2.1,VH07925
