vehicle_id,model_year,total_distance_km,fuel_type,fuel_efficiency_l100km,mileage_empty_kmpl,mileage_loaded_kmpl,pickup_time_0to60s,max_load_kg,typical_load_kg,cooling_efficiency_percent,refrigerant_type,cooling_power_kw,target_temp_c,years_in_service,annual_distance_km,maintenance_hours,service_area
VH00001,2022,152558,Electric,0.0,7.2,5.0,12.2,12000,9722,82.9,R-452A,20.5,-18,2,61023,1906,Kompally
VH00002,2023,172868,Diesel,28.5,5.0,3.5,15.6,8000,6081,96.4,R-452A,15.6,-18,1,115245,2160,Kompally
VH00003,2023,150716,Diesel,30.5,4.7,3.3,18.2,5000,3631,83.5,R-452A,15.6,-20,1,100477,1883,Kompally
VH00004,2018,573587,Diesel,34.0,4.2,2.9,20.3,5000,3879,82.3,R-452A,12.2,2,6,88244,7169,Medchal
VH00005,2022,148303,Diesel,29.2,4.9,3.4,20.0,12000,9996,95.6,R-452A,20.5,4,2,59321,1853,Gachibowli
VH00006,2022,180556,Electric,0.0,7.6,5.3,17.2,8000,7128,86.8,R-404A,22.4,-18,2,72222,2256,Gachibowli
VH00007,2022,132064,Diesel,33.3,4.3,3.0,22.4,8000,7098,85.3,R-404A,13.1,2,2,52825,1650,Mehdipatnam
VH00008,2020,231013,Diesel,31.1,4.6,3.2,21.9,5000,4287,89.4,R-452A,19.1,-20,4,51336,2887,Medchal
VH00009,2017,601956,Hybrid,26.0,5.5,3.8,15.9,8000,5921,82.1,R-404A,14.5,-18,7,80260,7524,PVNR_Expressway
VH00010,2023,164241,Diesel,38.1,3.7,2.6,17.1,12000,8304,89.0,R-452A,17.5,4,1,109494,2053,Uppal
VH00011,2017,726300,Hybrid,24.9,5.7,4.0,18.5,5000,3549,80.5,R-452A,14.2,-20,7,96840,9078,Mehdipatnam
VH00012,2021,225105,Hybrid,27.6,5.2,3.6,15.2,12000,9844,88.9,R-404A,19.0,2,3,64315,2813,HITEC_City_Main_Road
VH00013,2022,135994,Diesel,31.6,4.5,3.2,22.1,20000,12818,91.4,R-404A,17.3,4,2,54397,1699,Gachibowli
VH00014,2023,81898,Diesel,37.0,3.9,2.7,24.3,20000,13181,88.9,R-404A,21.3,-20,1,54599,1023,L B Nagar
VH00015,2021,256603,Diesel,32.9,4.3,3.0,19.8,20000,17236,90.6,R-452A,11.3,-20,3,73315,3207,Gachibowli
VH00016,2022,167106,Diesel,28.4,5.0,3.5,20.0,20000,13448,89.7,R-404A,18.9,-18,2,66842,2088,HITEC_City_Main_Road
VH00017,2023,121808,Electric,0.0,6.7,4.7,11.7,8000,6249,85.4,R-404A,12.6,-20,1,81205,1522,Uppal
VH00018,2022,140150,Diesel,35.9,4.0,2.8,24.0,8000,6350,84.5,R-404A,12.8,4,2,56060,1751,PVNR_Expressway
VH00019,2024,57965,Diesel,29.9,4.8,3.3,24.0,12000,10795,95.8,R-404A,20.3,-18,0,115931,724,Medchal
VH00020,2018,344839,Diesel,39.0,3.7,2.6,21.5,8000,5596,78.4,R-452A,21.9,2,6,53052,4310,L B Nagar
VH00021,2016,545167,Diesel,42.5,3.4,2.4,21.2,8000,6075,80.6,R-452A,22.0,4,8,64137,6814,L B Nagar
VH00022,2017,837864,Electric,0.0,6.4,4.5,12.3,5000,3917,76.3,R-404A,23.3,-20,7,111715,10473,L B Nagar
VH00023,2021,346108,Electric,0.0,6.8,4.7,12.3,8000,4929,85.6,R-452A,23.9,-20,3,98888,4326,L B Nagar
VH00024,2020,388156,Diesel,33.6,4.2,3.0,24.6,20000,15540,81.5,R-452A,15.3,2,4,86257,4851,HITEC_City_Main_Road
VH00025,2021,393667,Hybrid,23.6,6.1,4.2,13.4,20000,17313,81.4,R-452A,12.9,-18,3,112476,4920,HITEC_City_Main_Road
VH00026,2020,252978,Diesel,32.3,4.4,3.1,24.8,5000,3924,92.4,R-404A,16.2,-18,4,56217,3162,Uppal
VH00027,2020,256177,Diesel,41.6,3.4,2.4,16.6,5000,3267,84.8,R-404A,13.0,2,4,56928,3202,Uppal
VH00028,2020,275357,Diesel,43.2,3.3,2.3,21.9,8000,6993,79.2,R-404A,16.6,-18,4,61190,3441,Gachibowli
VH00029,2024,31809,Diesel,40.6,3.5,2.5,23.2,5000,4382,93.3,R-452A,24.2,2,0,63619,397,HITEC_City_Main_Road
VH00030,2023,166233,Diesel,34.6,4.1,2.9,16.0,8000,5179,86.1,R-404A,11.4,4,1,110822,2077,PVNR_Expressway
VH00031,2022,244906,Diesel,40.5,3.5,2.5,17.4,8000,4993,94.1,R-452A,24.5,4,2,97962,3061,Mehdipatnam
VH00032,2022,272122,Diesel,35.4,4.0,2.8,17.3,8000,6295,89.2,R-452A,12.6,-20,2,108848,3401,Gachibowli
VH00033,2022,275156,Diesel,37.7,3.8,2.7,22.3,5000,4168,94.7,R-404A,20.0,2,2,110062,3439,Gachibowli
VH00034,2023,90095,Diesel,30.7,4.6,3.3,22.2,8000,5134,86.3,R-404A,14.6,-20,1,60063,1126,Kompally
VH00035,2017,391901,Diesel,31.1,4.6,3.2,18.3,5000,3677,85.7,R-452A,12.7,-20,7,52253,4898,Medchal
VH00036,2017,591476,Diesel,42.1,3.4,2.4,24.5,8000,6805,83.8,R-452A,13.4,-20,7,78863,7393,Gachibowli
VH00037,2023,117968,Diesel,37.2,3.8,2.7,15.3,12000,10312,94.4,R-404A,10.3,-20,1,78645,1474,Gachibowli
VH00038,2018,357825,Diesel,46.0,3.1,2.2,17.9,5000,3595,82.7,R-452A,17.1,-18,6,55050,4472,Gachibowli
VH00039,2023,103194,Diesel,33.5,4.3,3.0,20.2,20000,15233,86.1,R-452A,19.8,2,1,68796,1289,Gachibowli
VH00040,2020,473943,Diesel,42.9,3.3,2.3,22.9,8000,5297,90.6,R-452A,10.6,-20,4,105320,5924,Mehdipatnam
VH00041,2021,243783,Electric,0.0,6.1,4.3,17.1,12000,8669,88.1,R-452A,20.6,-18,3,69652,3047,Medchal
VH00042,2021,396823,Diesel,28.5,5.0,3.5,20.5,12000,10010,85.0,R-452A,20.9,-20,3,113378,4960,Uppal
VH00043,2023,131685,Diesel,32.3,4.4,3.1,15.8,20000,15869,87.1,R-452A,12.6,-18,1,87790,1646,Kompally
VH00044,2024,39951,Diesel,33.2,4.3,3.0,17.6,12000,9457,93.6,R-404A,24.3,-18,0,79903,499,PVNR_Expressway
VH00045,2020,319204,Diesel,43.3,3.3,2.3,17.7,12000,10452,89.0,R-404A,12.0,-18,4,70934,3990,PVNR_Expressway
VH00046,2024,48476,Diesel,33.2,4.3,3.0,19.1,8000,6900,94.5,R-404A,13.9,2,0,96953,605,Gachibowli
VH00047,2022,148751,Diesel,28.0,5.1,3.6,24.6,5000,3450,89.7,R-452A,12.6,-20,2,59500,1859,Uppal
VH00048,2024,29873,Diesel,32.0,4.5,3.1,21.9,8000,7098,90.6,R-452A,17.7,2,0,59746,373,Gachibowli
